BLOQUE;MICROCUENCA;DISTRITO;PROVINCIA;AREA_HA;PCT_MAYOR_0_6139;PCT_0_4976_0_6139;PCT_0_3813_0_4976;PCT_0_2650_0_3813;PCT_MENOR_IGUAL_0_2650;HA_MAYOR_0_6139;HA_0_4976_0_6139;HA_0_3813_0_4976;HA_0_2650_0_3813;HA_MENOR_IGUAL_0_2650;PCT_BAJO_UMBRAL_0_4976;HA_BAJO_UMBRAL_0_4976;PCT_SOBRE_UMBRAL_0_4976;CLASE_MODAL;PIXELES;POLIG_EN_MAPA;MAPA_PNG
M17B1;C1096-Q9556;CHULUCANAS;MORROPON;42.413;0.0;0.16;18.44;72.42;8.98;0.0;0.069;7.82;30.715;3.809;99.84;42.343;0.16;Vigor muy bajo;1281907;1;MSAVI M17B1.png
M17B4;C1096-Q9556;CHULUCANAS;MORROPON;124.3;1.48;6.56;68.94;23.01;0.01;1.837;8.157;85.695;28.598;0.012;91.96;114.305;8.04;Vigor bajo;1060871;1;MSAVI M17B4.png
M17B5;C1096-Q9556;FRIAS;AYABACA;73.778;21.03;49.98;28.37;0.62;0.0;15.514;36.875;20.934;0.456;0.0;28.99;21.39;71.01;Vigor moderado;2554533;1;M17B5.png
M17B6;C1096-Q9556;FRIAS;AYABACA;106.287;1.35;15.87;70.23;12.53;0.01;1.436;16.867;74.65;13.322;0.012;82.78;87.983;17.22;Vigor bajo;823817;5;M17B6.png
M17B7;C1096-Q9556;FRIAS;AYABACA;258.147;13.79;37.72;42.8;5.7;0.0;35.597;97.368;110.475;14.707;0.0;48.49;125.182;51.51;Vigor bajo;1051713;3;M17B7.png
M18B1;C1077-Q9579;BUENOS AIRES;MORROPON;160.054;0.0;0.33;24.01;59.74;15.92;0.0;0.529;38.433;95.612;25.48;99.67;159.525;0.33;Vigor muy bajo;2299273;1;MSAVI M18B1.png
M18B3;C1077-Q9579;SALITRAL;MORROPON;371.952;0.01;1.45;41.41;52.55;4.57;0.031;5.399;154.031;195.478;17.013;98.54;366.522;1.46;Vigor muy bajo;791320;1;MSAVI M18B3.png
M19B2;C1086-Q9570;MORROPON;MORROPON;74.169;0.0;3.44;64.15;32.04;0.38;0.0;2.549;47.579;23.761;0.281;96.56;71.62;3.44;Vigor bajo;1319729;2;MSAVI M19B2.png
M19B7;C1086-Q9570;SANTO DOMINGO;MORROPON;34.146;34.98;59.58;5.44;0.0;0.0;11.946;20.344;1.856;0.0;0.0;5.44;1.856;94.56;Vigor moderado;2185766;1;MSAVI M19B7.png
M20B1;C1076-Q9585;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;278.421;0.09;2.57;28.39;63.28;5.66;0.256;7.168;79.048;176.183;15.767;97.33;270.997;2.67;Vigor muy bajo;903484;3;M20B1.png
M22B1;C1076-Q9586;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;55.108;34.07;62.03;3.9;0.0;0.0;18.773;34.185;2.15;0.0;0.0;3.9;2.15;96.1;Vigor moderado;1197332;1;M22B1.png
